image,caption
./images/val/2002.jpg,"a group of turkeys in a pen
"
./images/val/2003.jpg,"a goat standing on a rock in a zoo
"
./images/val/2004.jpg,"a person holding a chopstick
"
./images/val/2005.jpg,"a city skyline with buildings and a moon in the sky
"
./images/val/2006.jpg,"a cat sitting on a window sill with a bottle of shampoo
"
./images/val/2007.jpg,"a cat sitting on a desk with a computer monitor
"
./images/val/2008.jpg,"snow covered trees and a pagoda in the background
"
./images/val/2009.jpg,"people walking around a snowy park with trees and a pagoda
"
./images/val/2010.jpg,"magnolia trees in bloom in a park
"
./images/val/2011.jpg,"a view of a park with cherry trees and a road
"
./images/val/2012.jpg,"people walking along a sidewalk with trees in the background
"
./images/val/2013.jpg,"a pagoda lit up at night in china
"
./images/val/2014.jpg,"a man is giving a presentation in front of a screen
"
./images/val/2015.jpg,"a large outdoor market with people walking around
"
./images/val/2016.jpg,"three men sitting at a table in an office
"
./images/val/2017.jpg,"a family of people sitting on a bus with a child in a pink shirt
"
./images/val/2018.jpg,"a book with chinese writing on it is open
"
./images/val/2019.jpg,"christmas decorations and gifts on a shelf
"
./images/val/2020.jpg,"a person in a green costume walking down a road
"
./images/val/2021.jpg,"a screenshot of the app showing the price of a pair of shoes
"
./images/val/2022.jpg,"a phone with a camera and a screen showing a picture
"
./images/val/2023.jpg,"a group of people sitting around a table with laptops
"
./images/val/2024.jpg,"a sign that says ""no parking"" is on the ground
"
./images/val/2025.jpg,"a group of children posing for a photo in front of a screen
"
./images/val/2026.jpg,"a group of people posing for a photo in front of a building
"
./images/val/2027.jpg,"a plate of food on a table
"
./images/val/2028.jpg,"a glass of ice cream with a straw in it
"
./images/val/2029.jpg,"a group of birds standing in a grassy area
"
./images/val/2030.jpg,"a bear sitting on a tree branch in a zoo
"
./images/val/2031.jpg,"a rhino is standing in the dirt
"
./images/val/2032.jpg,"a group of animals in a zoo
"
./images/val/2033.jpg,"a group of giraffes eating leaves from a tree
"
./images/val/2034.jpg,"a digital oscilloscope with a blue line on it
"
./images/val/2035.jpg,"a presentation is shown on a screen in chinese
"
./images/val/2036.jpg,"a presentation is being given in chinese with a gold coin
"
./images/val/2037.jpg,"a presentation on the topic of s - developmental strategies
"
./images/val/2038.jpg,"a presentation is shown on a screen with chinese characters
"
./images/val/2039.jpg,"outlines for the research question
"
./images/val/2040.jpg,"2 8 guidelines for improving your writing technique
"
./images/val/2041.jpg,"a white board with a text on it that says you are not alone
"
./images/val/2042.jpg,"a screen with text on it that says, eight guidelines for improving your writing technique
"
./images/val/2043.jpg,"a monument in the middle of a bridge at night
"
./images/val/2044.jpg,"a city skyline at night with many tall buildings
"
./images/val/2045.jpg,"a drink with a slice of lemon and a slice of orange on top
"
./images/val/2046.jpg,"two cats sitting on a ledge
"
./images/val/2047.jpg,"a man in a kitchen
"
./images/val/2048.jpg,"a sunset over a city with buildings and clouds
"
./images/val/2049.jpg,"a ray of light
"
./images/val/2050.jpg,"a small animal laying in hay
"
./images/val/2051.jpg,"a person wearing a hoodie
"
./images/val/2052.jpg,"a large tree with a large rock in the middle
"
./images/val/2053.jpg,"a brown alpaca standing in front of a door
"
./images/val/2054.jpg,"a field of colorful flowers in the middle of a forest
"
./images/val/2055.jpg,"a cat is sleeping on a box on the floor
"
./images/val/2056.jpg,"a man sitting on a bench in a park
"
./images/val/2057.jpg,"a small apartment with a couch, table and chair
"
./images/val/2058.jpg,"a large stage with a large screen and a large crowd
"
./images/val/2059.jpg,"a large crowd of people at a stadium
"
./images/val/2060.jpg,"a large screen with a band playing on it
"
./images/val/2061.jpg,"a cloudy sky with a few trees in the foreground
"
./images/val/2062.jpg,"a group of flamingos standing in a field
"
./images/val/2063.jpg,"a person holding a pink phone case with a ticket
"
./images/val/2064.jpg,"a plane flying over a city skyline with trees in the background
"
./images/val/2065.jpg,"a view of a factory with smoke stacks and a bridge
"
./images/val/2066.jpg,"a snowman made out of ice sitting on top of a stump
"
./images/val/2067.jpg,"snow covered trees and buildings in the city
"
./images/val/2068.jpg,"a man is standing in front of a firework display
"
./images/val/2069.jpg,"a bowl of boiled eggs with a spoon in it
"
./images/val/2070.jpg,"a view of a snowy city through a window
"
./images/val/2071.jpg,"magnolia trees in bloom
"
./images/val/2072.jpg,"a woman looking at the city lights at night
"
./images/val/2073.jpg,"cherry blossoms in the city
"
./images/val/2074.jpg,"a boy holding a paper airplane in the air
"
./images/val/2075.jpg,"a group of runners are running in a race
"
./images/val/2076.jpg,"a table with many dishes of food
"
./images/val/2077.jpg,"a presentation on the subject of waveforms
"
./images/val/2078.jpg,"a street with a building and a bike rack
"
./images/val/2079.jpg,"a computer screen showing a computer design
"
./images/val/2080.jpg,"a red and white sign with a clock on it
"
./images/val/2081.jpg,"a close up of a digital oscilloscope
"
./images/val/2082.jpg,"a person is working on a circuit board
"
./images/val/2083.jpg,"a notebook with writing on it and a computer
"
./images/val/2084.jpg,"a man standing in front of a blackboard with many equations written on it
"
./images/val/2085.jpg,"a man standing next to a banner that says 2020
"
./images/val/2086.jpg,"a silver frame with chinese writing on it
"
./images/val/2087.jpg,"a multimeter is connected to a computer
"
./images/val/2088.jpg,"a fence is in front of a road with trees
"
./images/val/2089.jpg,"a sunset over a city with tall buildings
"
./images/val/2090.jpg,"a large pot of soup on a table
"
./images/val/2091.jpg,"a wildebeest eating grass in a field
"
./images/val/2092.jpg,"a giraffe standing next to a tree in a park
"
./images/val/2093.jpg,"a herd of animals standing in a field
"
./images/val/2094.jpg,"an ostrich walking on the grass
"
./images/val/2095.jpg,"a monkey is sitting on a tree house in the jungle
"
./images/val/2096.jpg,"a monkey is hanging from a tree in a zoo
"
./images/val/2097.jpg,"a panda bear laying on a rock in a zoo
"
./images/val/2098.jpg,"a panda bear is sleeping in a tree
"
./images/val/2099.jpg,"a crowd of people watching a movie in a park
"
./images/val/2100.jpg,"a presentation in chinese on a screen in front of a classroom
"
./images/val/2101.jpg,"a screen showing a graph on a projector
"
./images/val/2102.jpg,"a man is giving a presentation in front of a screen
"
./images/val/2103.jpg,"writing clear scientific english
"
./images/val/2104.jpg,"outlines
"
./images/val/2105.jpg,"how should you construct an outline?
"
./images/val/2106.jpg,"a presentation on writing techniques
"
./images/val/2107.jpg,"eight guidelines for improving your writing techniques
"
./images/val/2108.jpg,"a sign on a wall that says formal english
"
./images/val/2109.jpg,"a man writing on a blackboard in front of a classroom
"
./images/val/2110.jpg,"a presentation on a screen with chinese writing
"
./images/val/2111.jpg,"a notebook with chinese writing on it
"
./images/val/2112.jpg,"a piece of paper with chinese writing on it
"
./images/val/2113.jpg,"a man giving a presentation in front of a screen with chinese writing
"
./images/val/2114.jpg,"a man is giving a presentation in front of a screen
"
./images/val/2115.jpg,"a wooden comb with a rabbit on it
"
./images/val/2116.jpg,"a person holding a piece of white chocolate
"
./images/val/2117.jpg,"a sword is lit up in the dark
"
./images/val/2118.jpg,"a view of a mountain range with a river running through it
"
./images/val/2119.jpg,"a building with a large window and a large cloud
"
./images/val/2120.jpg,"a frog in a glass tank with a clear lid
"
./images/val/2121.jpg,"jellyfish in the aquarium
"
./images/val/2122.jpg,"a bag of food is on the ground next to a motorcycle
"
./images/val/2123.jpg,"a cup of ice cream
"
./images/val/2124.jpg,"a bag of food sitting on a motorcycle
"
./images/val/2125.jpg,"a table with a lot of food on it
"
./images/val/2126.jpg,"a bench with leaves on it
"
./images/val/2127.jpg,"a chandelier hanging from the ceiling
"
./images/val/2128.jpg,"a view of an airplane wing from inside an airport terminal
"
./images/val/2129.jpg,"a view of the city from an airplane at night
"
./images/val/2130.jpg,"a paved path lined with trees and bushes
"
./images/val/2131.jpg,"a city skyline with many tall buildings
"
./images/val/2132.jpg,"a bush of pink flowers with green leaves
"
./images/val/2133.jpg,"three pieces of food on a plate with a banana leaf
"
./images/val/2134.jpg,"a bowl of soup and rice on a tray
"
./images/val/2135.jpg,"a sign that says pandora is in the background
"
./images/val/2136.jpg,"a cat peeking out from under a chair
"
./images/val/2137.jpg,"a person is cooking food on a grill with a tray of food
"
./images/val/2138.jpg,"a table full of food and people eating
"
./images/val/2139.jpg,"a black cat walking on the sidewalk
"
./images/val/2140.jpg,"people are standing in front of a large building
"
./images/val/2141.jpg,"a pagoda in a park with a pond and buildings in the background
"
./images/val/2142.jpg,"a group of tall trees in a forest
"
./images/val/2143.jpg,"a man standing in front of a blackboard with a chalkboard
"
./images/val/2144.jpg,"a man giving a presentation in front of a large screen
"
./images/val/2145.jpg,"a group of people sitting around a table watching a television
"
./images/val/2146.jpg,"the entrance to a building with chinese writing on it
"
./images/val/2147.jpg,"two people standing in front of a screen with a woman pointing
"
./images/val/2148.jpg,"a circuit board with a lcd and wires attached to it
"
./images/val/2149.jpg,"a group of people posing for a photo on a track
"
./images/val/2150.jpg,"a person holding a sign that says ""2013""
"
./images/val/2151.jpg,"a man giving a presentation in front of a large screen
"
./images/val/2152.jpg,"two people running on a track in front of a crowd
"
./images/val/2153.jpg,"the app shows the location of the run
"
./images/val/2154.jpg,"a man giving flowers to another man on a podium
"
./images/val/2155.jpg,"a man is sitting on a scooter next to a pile of bricks
"
./images/val/2156.jpg,"a handheld osmo with a digital display and a power supply
"
./images/val/2157.jpg,"a hornbill bird sitting on a branch in a zoo
"
./images/val/2158.jpg,"a panda bear sitting on a pile of bamboo
"
./images/val/2159.jpg,"a bowl of soup with a spoon in it
"
./images/val/2160.jpg,"a digital oscilloscope with a waveform on it
"
./images/val/2161.jpg,"a digital oscilloscope with a green screen
"
./images/val/2162.jpg,"two electronic devices are sitting on a table
"
./images/val/2163.jpg,"describe change exercise 2
"
./images/val/2164.jpg,"a large room with white walls and white furniture
"
./images/val/2165.jpg,"a man writing on a blackboard in front of a classroom
"
./images/val/2166.jpg,"a presentation on the chinese language is shown on a screen
"
./images/val/2167.jpg,"a presentation on a screen with chinese characters
"
./images/val/2168.jpg,"a presentation is being given by a man in front of a screen
"
./images/val/2169.jpg,"a cake with chocolate and other candies on it
"
./images/val/2170.jpg,"a river at night with lights on the bridge
"
./images/val/2171.jpg,"a bottle of water sitting on a table
"
./images/val/2172.jpg,"a bottle of water sitting on a table in a classroom
"
./images/val/2173.jpg,"a black cat sitting on the steps of a building
"
./images/val/2174.jpg,"people are standing around a tent at night
"
./images/val/2175.jpg,"a flower planter on a stone bench
"
./images/val/2176.jpg,"a man standing next to a walrus in an aquarium
"
./images/val/2177.jpg,"a peacock is standing on a rock
"
./images/val/2178.jpg,"a man in a suit standing in front of a building with chinese writing on it
"
./images/val/2179.jpg,"a field of red and yellow flowers with trees in the background
"
./images/val/2180.jpg,"a large field of flowers
"
./images/val/2181.jpg,"a woman in white dress and hat on stage
"
./images/val/2182.jpg,"a woman singing on stage with a large screen behind her
"
./images/val/2183.jpg,"a city skyline reflected in a lake
"
./images/val/2184.jpg,"taylor swift performs at the super bowl halftime show
"
./images/val/2185.jpg,"a view of the city skyline from a park
"
./images/val/2186.jpg,"a cloudy sky with tall buildings in the background
"
./images/val/2187.jpg,"a plane flying in the sky with a cloudy sky
"
./images/val/2188.jpg,"snow covered trees and benches in a park at night
"
./images/val/2189.jpg,"a park with a tennis court and a fence
"
./images/val/2190.jpg,"a pink flower is growing in a green plant
"
./images/val/2191.jpg,"three owls sitting on top of each other
"
./images/val/2192.jpg,"a drink is shown in a video game
"
./images/val/2193.jpg,"a man is standing in front of a building with a chinese style roof
"
./images/val/2194.jpg,"a table with many dishes of food on it
"
./images/val/2195.jpg,"a medal with a chinese character on it
"
./images/val/2196.jpg,"a large bowl of red sauce
"
./images/val/2197.jpg,"medals for the olympics
"
./images/val/2198.jpg,"a close up of a monitor with an oscilloscope
"
./images/val/2199.jpg,"a car is being towed away from the scene of an accident
"
./images/val/2200.jpg,"a street with a bike parked on the side of it
"
./images/val/2201.jpg,"a large screen with a chinese logo on it
"
./images/val/2202.jpg,"a man and woman standing in front of a blackboard
"
./images/val/2203.jpg,"a large number of bikes parked on the street
"
./images/val/2204.jpg,"a street lined with trees and leaves in the fall
"
./images/val/2205.jpg,"a plate with food on it
"
./images/val/2206.jpg,"two monkeys are sitting on top of a tree
"
./images/val/2207.jpg,"a large brown orangutan sitting on a wooden platform
"
./images/val/2208.jpg,"a yellow snake laying on top of grass
"
./images/val/2209.jpg,"a hippo in the water at the zoo
"
./images/val/2210.jpg,"a view of the city at night from a high up vantage point
"
./images/val/2211.jpg,"a park with a tree and a bench
"
./images/val/2212.jpg,"the sun setting over a field of trees
"
./images/val/2213.jpg,"a presentation on a screen with the words assignment
"
./images/val/2214.jpg,"a presentation on a screen with a slide showing a graph
"
./images/val/2215.jpg,"a man giving a presentation in front of a screen
"
./images/val/2216.jpg,"a close up of a document with chinese writing on it
"
./images/val/2217.jpg,"a whiteboard with a picture of a person on it
"
./images/val/2218.jpg,"how should you construct an outline?
"
./images/val/2219.jpg,"a screen with text on it that says, 22 eight guidelines for improving your writing technique
"
./images/val/2220.jpg,"formal english the language of science
"
./images/val/2221.jpg,"3 1 formal english, the language of science
"
./images/val/2222.jpg,"a classroom with students sitting at desks and a blackboard
"
./images/val/2223.jpg,"a presentation on chinese culture in a classroom
"
./images/val/2224.jpg,"a man is giving a presentation in front of a screen
"
./images/val/2225.jpg,"a presentation is being given by a man in front of a screen
"
./images/val/2226.jpg,"a man giving a presentation in front of a screen with chinese characters
"
./images/val/2227.jpg,"a person using a red wire to connect a circuit board
"
./images/val/2228.jpg,"a tree with many flowers on it
"
./images/val/2229.jpg,"a cat laying on the ground in the dirt
"
./images/val/2230.jpg,"a bridge over water at night with lights on
"
./images/val/2231.jpg,"a person sitting in a bus with a flower in a vase
"
./images/val/2232.jpg,"a stack of books on a table
"
./images/val/2233.jpg,"a person holding a blue xbox controller in front of a bag
"
./images/val/2234.jpg,"a tree with a green cloth tied to it
"
./images/val/2235.jpg,"a cake with chocolate and candy on top
"
./images/val/2236.jpg,"a snail is crawling up the trunk of a tree
"
./images/val/2237.jpg,"a man sitting on a bench in a park with a duck
"
./images/val/2238.jpg,"a yellow and black fish swimming in an aquarium
"
./images/val/2239.jpg,"a large group of jellyfish swimming in the water
"
./images/val/2240.jpg,"a white scooter parked on the side of the road
"
./images/val/2241.jpg,"a tree with a light on it at night
"
./images/val/2242.jpg,"a large pan with food on it
"
./images/val/2243.jpg,"a paved road with yellow trees
"
./images/val/2244.jpg,"the entrance to the park is in front of a building
"
./images/val/2245.jpg,"a paved road lined with trees and bushes
"
./images/val/2246.jpg,"a woman in a white hat and jacket singing
"
./images/val/2247.jpg,"a small christmas tree with a star on top
"
./images/val/2248.jpg,"a view of a factory with smoke coming out of it
"
./images/val/2249.jpg,"the pagoda in the middle of a river
"
./images/val/2250.jpg,"a street light with a street sign on it
"
./images/val/2251.jpg,"a table with a bowl of food on it
"
./images/val/2252.jpg,"a pizza in a box with cheese on it
"
./images/val/2253.jpg,"fireworks in the night sky
"
./images/val/2254.jpg,"a plate of fried rice with chopsticks on a table
"
./images/val/2255.jpg,"a building with a chinese style facade
"
./images/val/2256.jpg,"a cup of ice cream sitting on top of a table
"
./images/val/2257.jpg,"a page with the text in chinese and english
"
./images/val/2258.jpg,"a group of people sitting at tables in front of a screen
"
./images/val/2259.jpg,"a large room with many people sitting at tables
"
./images/val/2260.jpg,"three women sitting on a couch in a living room
"
./images/val/2261.jpg,"a woman is talking to another woman on a television screen
"
./images/val/2262.jpg,"a screenshot of the chinese app for the chinese marathon
"
./images/val/2263.jpg,"a small bag with a ribbon on it sitting on a shelf
"
./images/val/2264.jpg,"a man is giving a speech in front of a large screen
"
./images/val/2265.jpg,"a man giving a presentation in front of a large screen
"
./images/val/2266.jpg,"a screenshot of the chinese language app
"
./images/val/2267.jpg,"a group of people sitting around a table with laptops
"
./images/val/2268.jpg,"nike free run 5s shoes for sale in china
"
./images/val/2269.jpg,"a man is giving a presentation in front of a large screen
"
./images/val/2270.jpg,"a man giving a presentation in front of a classroom
"
./images/val/2271.jpg,"a group of people running on a track in front of a large screen
"
./images/val/2272.jpg,"a person holding a card with chinese writing on it
"
./images/val/2273.jpg,"a man in a yellow jacket standing outside of a pink building
"
./images/val/2274.jpg,"beijing traffic jam
"
./images/val/2275.jpg,"a river with grass and trees on the side
"
./images/val/2276.jpg,"a river with rocks and grass in the middle of a field
"
./images/val/2277.jpg,"a bowl of crab meat with a side of scallops
"
./images/val/2278.jpg,"a basketball court in an empty city street at sunset
"
./images/val/2279.jpg,"people walk through a market at night with many stalls
"
./images/val/2280.jpg,"a woman holding an umbrella
"
./images/val/2281.jpg,"a bowl of noodles with meat and chopsticks
"
./images/val/2282.jpg,"a person wearing white sneakers with yellow and blue stripes
"
./images/val/2283.jpg,"a person holding a cone of ice cream
"
./images/val/2284.jpg,"a canal with boats and people walking on it
"
./images/val/2285.jpg,"a city street with many buildings and cars
"
./images/val/2286.jpg,"a boat sits in the middle of a courtyard
"
./images/val/2287.jpg,"snow covered trees and bushes on a road
"
./images/val/2288.jpg,"a person holding a snow ball in their hand
"
./images/val/2289.jpg,"a busy street at night with people walking around
"
./images/val/2290.jpg,"a road with yellow flowers and a telephone pole
"
./images/val/2291.jpg,"fireworks are seen over the water in the night
"
./images/val/2292.jpg,"people sitting on the ground near a statue of a man
"
./images/val/2293.jpg,"a long empty street with yellow lines and a bus stop
"
./images/val/2294.jpg,"a pier with a walkway and a few people on it
"
./images/val/2295.jpg,"a lake with trees and buildings in the background
"
./images/val/2296.jpg,"a white wall with a sign that says ""11f - a""
"
./images/val/2297.jpg,"a man is holding a cell phone
"
./images/val/2298.jpg,"people riding on motorbikes in a city at night
"
./images/val/2299.jpg,"a bridge lit up at night with lights reflecting off the water
"
./images/val/2300.jpg,"a table with a lot of food on it
"
./images/val/2301.jpg,"people are walking around inside of a large shopping mall
"
./images/val/2302.jpg,"the entrance to the museum of modern art in kyoto, japan
"
./images/val/2303.jpg,"cars are driving down the street in front of tall buildings
"
./images/val/2304.jpg,"a river with a bridge and trees in the background
"
./images/val/2305.jpg,"a large yellow building with a sign that says ""china""
"
./images/val/2306.jpg,"a cat walking down a narrow alleyway
"
./images/val/2307.jpg,"a park with red flowers and a stone in the middle
"
./images/val/2308.jpg,"a park with a grassy area and a few statues
"
./images/val/2309.jpg,"a polar bear on display in a museum
"
./images/val/2310.jpg,"people are standing in a train station waiting for a train
"
./images/val/2311.jpg,"beijing's traffic jams are a thing of the past
"
./images/val/2312.jpg,"a view of the city at night from a hill
"
./images/val/2313.jpg,"two people holding a stuffed animal in the car
"
./images/val/2314.jpg,"a large building with a clock tower in the background
"
./images/val/2315.jpg,"a can of beer with chinese writing on it
"
./images/val/2316.jpg,"pine trees on the side of a mountain
"
./images/val/2317.jpg,"a tree with pink flowers in front of a building
"
./images/val/2318.jpg,"a large statue of a lion in a park with a bridge over the water
"
./images/val/2319.jpg,"a person walking down a path in a park
"
./images/val/2320.jpg,"three dumplings sit in a bamboo steamer
"
./images/val/2321.jpg,"people are skating on an ice rink in a mall
"
./images/val/2322.jpg,"a city at night with tall buildings and lights
"
./images/val/2323.jpg,"a white cat sitting next to a tree
"
./images/val/2324.jpg,"photograph - the stairs to the top of the mountain by jimmy kirk
"
./images/val/2325.jpg,"the view from the top of a mountain in china
"
./images/val/2326.jpg,"a fern in the woods with sunlight shining through
"
./images/val/2327.jpg,"a lake with a bridge and tall buildings in the background
"
./images/val/2328.jpg,"a group of people sitting in a classroom
"
./images/val/2329.jpg,"a container of milk with fruit in it
"
./images/val/2330.jpg,"a container of yogurt with a green and white label
"
./images/val/2331.jpg,"a person wearing blue shoes and white pants
"
./images/val/2332.jpg,"a large sign that says i love you in front of a tall tower
"
./images/val/2333.jpg,"people walking through an outdoor market with food stalls
"
./images/val/2334.jpg,"a box of food with meat and vegetables in it
"
./images/val/2335.jpg,"two small white eggs in a black container on a plate
"
./images/val/2336.jpg,"a red wall with a railing and trees in the background
"
./images/val/2337.jpg,"a rainbow is seen over a small village
"
./images/val/2338.jpg,"people walking down the street in a busy city
"
./images/val/2339.jpg,"photograph - frosty pine by jimmy kirk
"
./images/val/2340.jpg,"a field with grass and a hill in the background
"
./images/val/2341.jpg,"fireworks over the water at night
"
./images/val/2342.jpg,"the chinese gate at the entrance to the park
"
./images/val/2343.jpg,"a bridge over a river with a railing and a stone wall
"
./images/val/2344.jpg,"shadow of two people walking on a road
"
./images/val/2345.jpg,"the view from the top of a mountain in japan
"
./images/val/2346.jpg,"a dirt path on the top of a mountain
"
./images/val/2347.jpg,"a field of red flowers
"
./images/val/2348.jpg,"a statue of a bull with horns on top of a building
"
./images/val/2349.jpg,"a person holding a small box of toothpaste
"
./images/val/2350.jpg,"a person holding a black bag with the words help on it
"
./images/val/2351.jpg,"a person holding a sandwich with meat and cheese
"
./images/val/2352.jpg,"a bowl of soup with meat and vegetables on a tray
"
./images/val/2353.jpg,"the forbidden city at night
"
./images/val/2354.jpg,"the moon is shining brightly over a park with trees and lights
"
./images/val/2355.jpg,"a narrow passage in a cave with a light coming from the top
"
./images/val/2356.jpg,"a dirt path leads up to a mountain top
"
./images/val/2357.jpg,"sky is gray and cloudy
"
./images/val/2358.jpg,"a large shopping mall with many people inside
"
./images/val/2359.jpg,"a pair of black and white shoes in plastic bags
"
./images/val/2360.jpg,"people walking in the city at night with a building in the background
"
./images/val/2361.jpg,"a table with a plate of food on it
"
./images/val/2362.jpg,"a bridge over a river at night with lights on
"
./images/val/2363.jpg,"a boat is traveling across the water near a city
"
./images/val/2364.jpg,"a long bridge that leads to the ocean
"
./images/val/2365.jpg,"a black pole with a sign on it
"
./images/val/2366.jpg,"a large cannon is on display in front of a building
"
./images/val/2367.jpg,"a view of a bridge from a train
"
./images/val/2368.jpg,"a gazebo in the middle of a lush green park
"
./images/val/2369.jpg,"a park with a pond and people walking around
"
./images/val/2370.jpg,"a tray with rice, meat and vegetables on it
"
