image_name,caption
2002.jpg,a with a and a on the side
2003.jpg,a cat walking on a brick walkway
2004.jpg,a person holding a cup of in a museum
2005.jpg,a view of the city from a window
2006.jpg,a cat sitting on a desk next to a
2007.jpg,a cat sitting on a desk next to a
2008.jpg,a view of a city street with a large in the background
2009.jpg,a view of the city from a park
2010.jpg,a group of people standing in a park with trees
2011.jpg,a view of the city from a window
2012.jpg,people walking around a in a park with trees
2013.jpg,a large building with a large screen in the middle of a city
2014.jpg,a presentation in chinese with a screen showing the
2015.jpg,a man is standing in front of a large screen with a
2016.jpg,a table with a and a on it
2017.jpg,a person holding a in the ocean
2018.jpg,a chinese book with chinese writing on it
2019.jpg,a person holding a bag of in a museum
2020.jpg,a man is sitting on a in the grass
2021.jpg,a cartoon of with a in it
2022.jpg,a screen showing a presentation in chinese
2023.jpg,a man is giving a presentation in front of a large screen
2024.jpg,a large building with a large in the background
2025.jpg,a man with a picture of a man in a
2026.jpg,a large white building with a large
2027.jpg,a bowl of food with a spoon in it
2028.jpg,a bowl of food with meat and vegetables in a
2029.jpg,a is in the sky with a tree in the background
2030.jpg,a white dog is sitting on the floor next to a door
2031.jpg,a group of swimming in a pond with green leaves
2032.jpg,a person holding a in a tree
2033.jpg,a bird is sitting on a tree in the water
2034.jpg,a white board with a blue backpack
2035.jpg,a presentation is being given by a man in front of a screen
2036.jpg,a screen showing a presentation in chinese
2037.jpg,a screen showing a presentation in chinese
2038.jpg,a presentation in chinese with a screen showing a chinese language
2039.jpg,a presentation is being given by a in front of a screen
2040.jpg,a screen showing a presentation on a wall
2041.jpg,a screen showing a presentation in chinese
2042.jpg,a screen showing a presentation on it
2043.jpg,a large building with a clock tower in the middle of it
2044.jpg,a city skyline at night with a bridge and a building in the background
2045.jpg,a bowl of food with a spoon in it
2046.jpg,a cat sitting on a brick walkway
2047.jpg,a table with food and a bowl of food on it
2048.jpg,a view of the city from a window
2049.jpg,a of and
2050.jpg,a person holding a in a field
2051.jpg,a man is sitting at a table with a laptop and a
2052.jpg,a view of the mountains and a house in the middle of a forest
2053.jpg,a black cat sitting on a desk
2054.jpg,a field of purple flowers with a blue sky in the background
2055.jpg,a white cat sitting on a desk
2056.jpg,a view of a city street with a and a tree
2057.jpg,a person holding a in a
2058.jpg,a man is sitting at a table with a large screen
2059.jpg,a large group of people standing in front of a large screen
2060.jpg,a large screen with a chinese writing on it
2061.jpg,a view of the city from a park with trees and buildings
2062.jpg,a person holding a in the ocean
2063.jpg,a person holding a bag of in a store
2064.jpg,a view of the city from a window
2065.jpg,a view of the city from a window
2066.jpg,a tree in the water
2067.jpg,a large white building with a clock on it
2068.jpg,a view of the city from a window
2069.jpg,a bowl of food with a spoon in it
2070.jpg,a view of the city from a window
2071.jpg,a tree with pink flowers in the middle of a park
2072.jpg,a city skyline lit up at night with people walking around
2073.jpg,a tree with pink flowers in a park
2074.jpg,two people sitting on a bench with a
2075.jpg,two are standing in front of a large screen
2076.jpg,a bowl of food with chopsticks and a spoon
2077.jpg,a presentation in chinese with a screen showing a man
2078.jpg,a building with a sign that says `` china '' in the middle of the
2079.jpg,a person holding a with a on it
2080.jpg,a large sign that says
2081.jpg,a white dog with a blue on it
2082.jpg,a person holding a in a store
2083.jpg,a display case with several different types of
2084.jpg,a man is giving a presentation in front of a large screen
2085.jpg,a large screen with chinese writing on it
2086.jpg,a person holding a in a
2087.jpg,a computer monitor with a computer monitor on it
2088.jpg,a large building with a clock on it
2089.jpg,a view of the city from a window
2090.jpg,a bowl of food with chopsticks and a spoon
2091.jpg,a in the water
2092.jpg,a statue of a bird on a tree in the water
2093.jpg,a group of people sitting on a in a field
2094.jpg,a is sitting on a tree in the water
2095.jpg,a tree with a blue and white
2096.jpg,a man is sitting on a bench in a
2097.jpg,a cat sitting on a table
2098.jpg,a white bird in a cage
2099.jpg,people are walking around in a city at night
2100.jpg,a screen showing a presentation on a wall
2101.jpg,a screen showing a presentation in front of a screen
2102.jpg,a man giving a presentation in front of a large screen
2103.jpg,a screen showing a presentation in chinese
2104.jpg,a screen showing a presentation in chinese
2105.jpg,a presentation in chinese with a screen showing the
2106.jpg,a screen showing a presentation in chinese
2107.jpg,a screen showing a presentation on a wall
2108.jpg,a screen showing the words for the of the
2109.jpg,a man is giving a presentation in front of a large screen
2110.jpg,a presentation is being given by a man in front of a screen
2111.jpg,a chinese language with chinese writing on it
2112.jpg,a chinese with chinese writing on it
2113.jpg,a presentation in chinese with a screen showing a menu
2114.jpg,a presentation in chinese with a screen showing a chinese language
2115.jpg,a person holding a bag of in a store
2116.jpg,a person holding a in a
2117.jpg,a cat is sitting on the floor next to a door
2118.jpg,a view of the mountains and a house in the middle of a forest
2119.jpg,a view of the city from a window
2120.jpg,a white cat sitting on a desk
2121.jpg,a with a and a
2122.jpg,a white bird on a wall
2123.jpg,a person holding a cup of a tea in a store
2124.jpg,a person holding a of in a museum
2125.jpg,a table with a bowl of food and a spoon
2126.jpg,a white board with a green leaf on it
2127.jpg,a display case with a on display
2128.jpg,a large with a and a
2129.jpg,a view of the city from a window in a park
2130.jpg,a street lined with trees and a
2131.jpg,a view of the city from a building with a large gate
2132.jpg,a tree with pink flowers in a park
2133.jpg,a bowl of with a spoon in it
2134.jpg,a bowl of food with a spoon in it
2135.jpg,a car is parked on the side of the road
2136.jpg,a cat sitting on a desk next to a
2137.jpg,a person holding a with a on it
2138.jpg,a table with food on it and a bowl of food
2139.jpg,a cat sitting on a brick walkway
2140.jpg,people are walking around in a park with a large building
2141.jpg,a view of the city from a window
2142.jpg,a view of the city skyline at night with a bridge in the background
2143.jpg,a man in a black shirt and a hat
2144.jpg,a man giving a presentation in front of a large screen
2145.jpg,a table with a bunch of food on it
2146.jpg,a large building with a large on it
2147.jpg,a man in a white shirt is standing in front of a large screen
2148.jpg,a of a and a on a table
2149.jpg,a group of people standing in a park with a large screen
2150.jpg,a person holding a bag of a with a chinese character
2151.jpg,a man is giving a presentation in front of a large screen
2152.jpg,a man is sitting on a bench in a
2153.jpg,a screen showing a presentation in the middle of a screen
2154.jpg,a man in a white shirt is standing in front of a large screen
2155.jpg,a man is sitting on a in a
2156.jpg,a computer monitor with a on it
2157.jpg,a and a on a tree
2158.jpg,a cat sitting on a table
2159.jpg,a bowl of food with a spoon in it
2160.jpg,a white board with a blue backpack
2161.jpg,a man is giving a presentation in front of a large screen
2162.jpg,a man is giving a presentation in front of a large screen
2163.jpg,a screen showing a presentation in chinese
2164.jpg,a large display of a in a museum
2165.jpg,a man is giving a presentation in front of a large screen
2166.jpg,a man is giving a presentation in front of a screen
2167.jpg,a man is giving a presentation in front of a screen
2168.jpg,a presentation is being given by a man in front of a screen
2169.jpg,a table with a bowl of food and a spoon
2170.jpg,a view of the city from a window
2171.jpg,a of and a on a table
2172.jpg,a bowl of food with a spoon in it
2173.jpg,a black cat sitting on the floor
2174.jpg,a large group of people in a room
2175.jpg,a bird is sitting on a tree in the water
2176.jpg,a person holding a in a field
2177.jpg,a is sitting on a tree in the water
2178.jpg,a statue of a in a cage
2179.jpg,a view of the mountains and a house in the middle of a forest
2180.jpg,a view of the mountains and a house in the middle of a forest
2181.jpg,a man in a white shirt is standing in front of a large screen
2182.jpg,a man in a white shirt is standing in front of a screen
2183.jpg,a view of the city from a window
2184.jpg,a man is giving a presentation in front of a large screen
2185.jpg,a view of the mountains and a house in the middle of a forest
2186.jpg,a view of the city from a window
2187.jpg,a view of the mountains and a house in the middle of a forest
2188.jpg,a tree with pink flowers in a park
2189.jpg,a view of the city from a park with trees and grass
2190.jpg,a white bird in a cage with a tree
2191.jpg,a is seen in the water
2192.jpg,a person holding a in a
2193.jpg,a and a on the a
2194.jpg,a table with food and a bowl of food on it
2195.jpg,a person holding a of a in a museum
2196.jpg,a table with a bowl of food and a spoon
2197.jpg,a person holding a cup of in a museum
2198.jpg,a computer monitor with a blue and green
2199.jpg,a with a sign on it
2200.jpg,a man is sitting on a bench in a park
2201.jpg,a man is giving a presentation in front of a large screen
2202.jpg,a man is giving a presentation in front of a large screen
2203.jpg,a group of people sitting on a table in a park
2204.jpg,a tree with pink flowers in the middle of a park
2205.jpg,a bowl of food with meat and vegetables on a table
2206.jpg,a black cat sitting on a brick walkway
2207.jpg,a white bird with a blue bird in the background
2208.jpg,a cat with a blue backpack on it
2209.jpg,a in a pond with a in the background
2210.jpg,a view of the city from a window
2211.jpg,a view of a lake with mountains in the background
2212.jpg,a view of the mountains and a house in the middle of a forest
2213.jpg,a screen showing a presentation in chinese
2214.jpg,a screen showing a presentation on a wall
2215.jpg,a man is giving a presentation in front of a large screen
2216.jpg,a white wall with a chinese language on it
2217.jpg,a man is giving a presentation in front of a screen
2218.jpg,a screen showing a presentation in chinese
2219.jpg,a screen showing a presentation in chinese
2220.jpg,a screen showing a presentation on it
2221.jpg,a screen showing a presentation on it
2222.jpg,a classroom with students sitting at desks and a teacher standing in front of them
2223.jpg,a large screen with chinese writing on it
2224.jpg,a man is giving a presentation in front of a screen
2225.jpg,a presentation in chinese with a screen showing a chinese language
2226.jpg,a man is giving a presentation in front of a screen
2227.jpg,a person holding a of a in a museum
2228.jpg,a tree with pink flowers in the middle of a park
2229.jpg,a cat sitting on a table
2230.jpg,a view of the city skyline from a hilltop
2231.jpg,a man is sitting on a bench in a room
2232.jpg,a person holding a bag of in a store
2233.jpg,a person holding a in a
2234.jpg,a tree with a pink flower on it
2235.jpg,a display of and a on display in a museum
2236.jpg,a tree with pink flowers and a blue sky
2237.jpg,a view of a city street with a in the background
2238.jpg,a with a and a on it
2239.jpg,a tree with pink flowers in the middle of a park
2240.jpg,a car is parked in the middle of the road
2241.jpg,a view of the city from a park with trees and grass
2242.jpg,a bowl of food with a spoon in it
2243.jpg,a street with a on it in the background
2244.jpg,a large building with a large in the middle of a city
2245.jpg,a tree with pink flowers in the middle of a park
2246.jpg,a woman in a white shirt is standing in front of a large screen
2247.jpg,a white bird in a cage
2248.jpg,a view of the city from a window
2249.jpg,a large building with a clock tower in the middle of it
2250.jpg,a view of the city from a window
2251.jpg,a bowl of food with a spoon in it
2252.jpg,a bowl of food with a spoon in it
2253.jpg,a tree with pink flowers in the middle of a forest
2254.jpg,a bowl of food with a spoon in it
2255.jpg,a large building with a large screen showing the
2256.jpg,a person holding a of in a museum
2257.jpg,a cartoon of a with a on it
2258.jpg,a man giving a presentation in front of a large screen
2259.jpg,a group of people sitting at a table in front of a large screen
2260.jpg,a man is giving a presentation in front of a large screen
2261.jpg,a man giving a presentation in front of a large screen
2262.jpg,a cartoon of the
2263.jpg,a cat sitting on a desk next to a
2264.jpg,a large screen with a chinese writing on it
2265.jpg,a man is giving a presentation in front of a large screen
2266.jpg,a man giving a presentation in front of a large screen
2267.jpg,a man is giving a presentation in front of a large screen
2268.jpg,a cartoon of the with a on it
2269.jpg,a man giving a presentation in front of a large screen
2270.jpg,a man is giving a presentation in front of a large screen
2271.jpg,a man is standing in front of a large screen with a
2272.jpg,a person holding a bag of in a museum
2273.jpg,a large building with a large in the background
2274.jpg,a large building with a clock tower
2275.jpg,a view of the mountains and a house in the middle of a forest
2276.jpg,a view of the mountains and a house in the middle of a forest
2277.jpg,a bowl of food with meat and vegetables on a table
2278.jpg,a view of the city from a window
2279.jpg,people walking around a street at night
2280.jpg,a group of people in a on a tree
2281.jpg,a bowl of food with a spoon in it
2282.jpg,a person holding a in a cage
2283.jpg,a person holding a bag of in a museum
2284.jpg,a view of the city from a window
2285.jpg,a street with a sign that says `` china '' in the middle of it
2286.jpg,a large building with a large on it
2287.jpg,a view of the mountains and a house in the middle of a forest
2288.jpg,a swimming in the water with a of it
2289.jpg,a large building with a large clock tower
2290.jpg,a view of the mountains and a house in the middle of a forest
2291.jpg,a large building with a large clock tower in the middle of it
2292.jpg,a large building with a large red roof
2293.jpg,a large building with a large on it
2294.jpg,a view of the city from a window
2295.jpg,a view of the mountains and a house in the middle of a forest
2296.jpg,a person holding a of in the
2297.jpg,a man is sitting at a table with a laptop and a
2298.jpg,a man is standing on the side of a road
2299.jpg,a view of the city from a window
2300.jpg,a bowl of food with a spoon in it
2301.jpg,a large building with a large screen on the side
2302.jpg,a large building with a large on it
2303.jpg,a street with a sign on it in a park
2304.jpg,a view of the mountains and a house in the middle of a forest
2305.jpg,a large building with a clock tower in the middle of it
2306.jpg,a man is sitting on a bench in a room
2307.jpg,a large white bird in a cage
2308.jpg,a large rock with chinese writing on it in front of a building
2309.jpg,a cat is sitting on the floor next to a door
2310.jpg,a large room with a large of in it
2311.jpg,a large building with a clock tower
2312.jpg,a view of the mountains and a house in the middle of a forest
2313.jpg,a person holding a in a
2314.jpg,a view of the city from a building with a large screen
2315.jpg,a person holding a of in a museum
2316.jpg,a tree with pink flowers in the middle of a park
2317.jpg,a tree with pink flowers in a park
2318.jpg,a view of the city from a park
2319.jpg,a view of the city from a window
2320.jpg,a with a bowl of food and a spoon
2321.jpg,a person holding a cup of in a museum
2322.jpg,a city skyline at night with a bridge and a building in the background
2323.jpg,a cat sitting on a desk next to a
2324.jpg,a tree with pink flowers in the middle of a forest
2325.jpg,a view of the mountains and mountains from the top of a mountain
2326.jpg,a view of the mountains from a window in a park
2327.jpg,a view of the city from a window
2328.jpg,a man is sitting at a table with a green leaf
2329.jpg,a bowl of food with a spoon in it
2330.jpg,a person holding a cup of in a museum
2331.jpg,a man is sitting on a in a
2332.jpg,a large building with a large screen showing the
2333.jpg,a large crowd of people standing in a city at night
2334.jpg,a bowl of food with a spoon in it
2335.jpg,a bowl of food with a spoon in it
2336.jpg,"the city of , ,"
2337.jpg,a view of a city street with a bridge and a tree
2338.jpg,a large building with a clock tower
2339.jpg,a tree with pink flowers in the middle of a park
2340.jpg,a view of the mountains and a house in the middle of a forest
2341.jpg,a view of the city from a window
2342.jpg,a large white bird in a building
2343.jpg,a view of the mountains and a house in the middle of a forest
2344.jpg,a person holding a on a tree in the water
2345.jpg,a view of the mountains and a house in the middle of a forest
2346.jpg,a view of the mountains and a house in the middle of a forest
2347.jpg,a tree with pink flowers and a blue sky
2348.jpg,a statue of a man in a
2349.jpg,a person holding a of a in a museum
2350.jpg,a person holding a in a
2351.jpg,a person holding a bag of in a museum
2352.jpg,a bowl of food with meat and vegetables on a table
2353.jpg,the entrance to the chinese temple of the building
2354.jpg,a view of the city from a window
2355.jpg,a large white building with a blue sky in the background
2356.jpg,a view of the mountains and a house in the middle of a forest
2357.jpg,a large building with a large in the background
2358.jpg,a large building with a large screen on the side
2359.jpg,a person holding a in a
2360.jpg,people are standing in front of a large building with a large screen
2361.jpg,a bowl of food with a spoon in it
2362.jpg,a bridge over a river with a bridge and a lake in the background
2363.jpg,a view of the city from a window
2364.jpg,a view of the city from a window
2365.jpg,a statue of a man on a horse in a park
2366.jpg,a large with a large in the middle of a building
2367.jpg,a view of the city from a window
2368.jpg,a view of the city from a window
2369.jpg,a view of the city from a window
2370.jpg,a bowl of food with a spoon in it
